"ProbeID","Expression"
"1007_s_at",2.738882934
"1053_at",4.337271091
"117_at",7.113597404
"121_at",3.665105628
"1255_g_at",1.781134179
"1294_at",3.764240426
"1316_at",3.212798088
"1320_at",2.183837341
"1405_i_at",10.87336665
"1431_at",1.706841333
"1438_at",2.034758359
"1487_at",4.923407139
"1494_f_at",2.056721445
"1552256_a_at",3.754902813
"1552257_a_at",2.608987166
"1552258_at",2.45874695
"1552261_at",2.407713717
"1552263_at",7.197295093
"1552264_a_at",6.778423706
"1552266_at",2.755789015
"1552269_at",1.750122337
"1552271_at",2.584746775
"1552272_a_at",1.40829835
"1552274_at",5.691057323
"1552275_s_at",4.780492356
"1552276_a_at",2.625964788
"1552277_a_at",2.854254747
"1552278_a_at",1.992996167
"1552279_a_at",2.678314341
"1552280_at",1.972678587
"1552281_at",2.986246551
"1552283_s_at",1.650835905
"1552286_at",3.866895716
"1552287_s_at",4.523743485
"1552288_at",2.334224412
"1552289_a_at",2.128714616
"1552291_at",7.159186253
"1552293_at",2.452081203
"1552295_a_at",3.349229007
"1552296_at",2.248541141
"1552299_at",2.060740176
"1552301_a_at",3.15576322
"1552302_at",4.824459741
"1552303_a_at",4.203853
"1552304_at",1.601583099
"1552306_at",2.813047864
"1552307_a_at",3.126527254
"1552309_a_at",2.092554639
"1552310_at",5.565513728
"1552311_a_at",2.962559133
"1552312_a_at",3.495587512
"1552314_a_at",2.368297547
"1552315_at",6.306444707
"1552316_a_at",9.053874748
"1552318_at",9.072288341
"1552319_a_at",3.074980786
"1552320_a_at",2.434521198
"1552321_a_at",1.885167348
"1552322_at",1.686026825
"1552323_s_at",2.460151362
"1552325_at",2.794412171
"1552326_a_at",1.905164484
"1552327_at",2.316105978
"1552329_at",4.374871533
"1552330_at",3.642026509
"1552332_at",3.649087669
"1552334_at",4.178182818
"1552335_at",2.36577961
"1552337_s_at",1.754063316
"1552338_at",1.870650451
"1552340_at",1.725864965
"1552343_s_at",5.523251038
"1552344_s_at",3.542425122
"1552347_at",7.017874145
"1552348_at",5.445536261
"1552349_a_at",2.515913968
"1552354_at",3.009866306
"1552355_s_at",1.732342409
"1552359_at",1.993334694
"1552360_a_at",2.841343322
"1552362_a_at",3.548400589
"1552364_s_at",2.195961375
"1552365_at",2.247088986
"1552367_a_at",2.812571037
"1552368_at",2.170173002
"1552370_at",4.304665116
"1552372_at",2.032383231
"1552373_s_at",2.825416674
"1552375_at",3.538222833
"1552377_s_at",2.291937699
"1552378_s_at",1.803270279
"1552379_at",1.804433414
"1552381_at",1.794819333
"1552383_at",5.095404924
"1552384_a_at",1.885807557
"1552386_at",9.289519301
"1552388_at",2.076866693
"1552389_at",2.804520168
"1552390_a_at",2.608581023
"1552391_at",2.994207434
"1552393_at",1.888265131
"1552394_a_at",2.158779217
"1552395_at",2.339481383
"1552396_at",1.796017618
"1552398_a_at",7.27841284
"1552399_a_at",2.668621037
"1552400_a_at",1.453792851
