ProbeID,Expression
1552554_a_at,4.292489359
1552773_at,4.749713553
1555728_a_at,4.513031396
1557924_s_at,4.777293763
1558549_s_at,4.717488869
1568830_at,4.897995221
1569599_at,2.816592764
202872_at,5.393252708
203913_s_at,3.385342255
203914_x_at,4.459647386
204409_s_at,2.329971298
205041_s_at,4.109233221
205110_s_at,3.073811979
205471_s_at,3.839037744
205513_at,5.649706669
205844_at,5.199775691
206177_s_at,4.989305367
206464_at,4.289035761
206618_at,4.855312063
206676_at,3.881472264
206697_s_at,5.163065924
207269_at,4.929941494
207329_at,3.526413666
207802_at,2.894167858
208470_s_at,5.550754957
208650_s_at,4.253507088
209135_at,3.499102491
209409_at,4.774525977
209992_at,3.497752494
210999_s_at,4.617205649
211548_s_at,3.920731133
211734_s_at,4.608281549
212768_s_at,2.673430451
213624_at,4.755317678
213817_at,5.158672419
216191_s_at,5.807367742
219295_s_at,2.712013257
219528_s_at,5.855251956
219607_s_at,4.814892008
219669_at,5.195519538
219890_at,4.056067241
219975_x_at,2.689000927
220570_at,5.360929081
223767_at,4.698670429
224588_at,3.559779063
224996_at,4.10786897
226733_at,3.651857926
227055_at,4.304505349
227671_at,3.179666442
228285_at,4.250334228
228915_at,4.119186497
231122_x_at,4.207897428
231688_at,3.655545841
233126_s_at,3.449318269
238439_at,4.774525977
239196_at,5.270868944
266_s_at,4.792058603
