"ProbeID","Expression"
"1007_s_at",5.3966897531
"1053_at",5.835437681
"117_at",8.5691872426
"121_at",7.5721064149
"1255_g_at",2.659445631
"1294_at",7.0830545402
"1316_at",5.055967386
"1320_at",3.7203425954
"1405_i_at",10.2055332372
"1431_at",2.9760315401
"1438_at",4.5982306635
"1487_at",6.9976399548
"1494_f_at",5.6211298869
"1552256_a_at",5.9211323812
"1552257_a_at",6.2379201837
"1552258_at",4.1238948592
"1552261_at",4.1694483402
"1552263_at",8.378994983
"1552264_a_at",9.0348224059
"1552266_at",3.2237398524
"1552269_at",2.9153201875
"1552271_at",5.3060129977
"1552272_a_at",4.5811173165
"1552274_at",8.2438993796
"1552275_s_at",7.0229944115
"1552276_a_at",5.5084395618
"1552277_a_at",5.4023404886
"1552278_a_at",3.5169724677
"1552279_a_at",6.2332664375
"1552280_at",3.3647638673
"1552281_at",6.1710256439
"1552283_s_at",2.9565020703
"1552286_at",5.6079511406
"1552287_s_at",5.0555881633
"1552288_at",3.3633454846
"1552289_a_at",5.0421792155
"1552291_at",5.4133491229
"1552293_at",4.691543211
"1552295_a_at",5.5919995635
"1552296_at",2.8114205729
"1552299_at",3.5259544636
"1552301_a_at",5.0428859099
"1552302_at",5.4532051632
"1552303_a_at",5.8443386301
"1552304_at",3.3304955847
"1552306_at",3.5275947602
"1552307_a_at",5.11274349
"1552309_a_at",5.4893640193
"1552310_at",5.5783402572
"1552311_a_at",7.2166687892
"1552312_a_at",5.3361672998
"1552314_a_at",3.7046304817
"1552315_at",7.0702695553
"1552316_a_at",7.4326771692
"1552318_at",8.0971972143
"1552319_a_at",3.6178774662
"1552320_a_at",3.2066436606
"1552321_a_at",3.0607305668
"1552322_at",2.5905453012
"1552323_s_at",4.3337728222
"1552325_at",2.5896203851
"1552326_a_at",3.8476466973
"1552327_at",2.9903507505
"1552329_at",3.8167792579
"1552330_at",5.7282321408
"1552332_at",6.9017248307
"1552334_at",5.1798926399
"1552335_at",6.2516772908
"1552337_s_at",3.5252528262
"1552338_at",3.9332877192
"1552340_at",4.3492918985
"1552343_s_at",6.0784602492
"1552344_s_at",3.9611196784
"1552347_at",6.6968122612
"1552348_at",6.9546422036
"1552349_a_at",4.2719183751
"1552354_at",4.1896297252
"1552355_s_at",5.3440550741
"1552359_at",2.7117540582
"1552360_a_at",5.3307184402
"1552362_a_at",5.3024390644
"1552364_s_at",5.1836623918
"1552365_at",2.664614962
"1552367_a_at",3.17710894
"1552368_at",2.9232728282
"1552370_at",3.6682187702
"1552372_at",2.4102099914
"1552373_s_at",2.9792080412
"1552375_at",5.4192167254
"1552377_s_at",6.4298609947
"1552378_s_at",3.4975666518
"1552379_at",2.3854657685
"1552381_at",2.6252599081
"1552383_at",6.2639752685
"1552384_a_at",3.8107371597
"1552386_at",7.9732156143
"1552388_at",6.0898421352
"1552389_at",2.7598855198
"1552390_a_at",2.558114117
"1552391_at",3.8883662994
"1552393_at",2.6215234689
"1552394_a_at",2.644597261
"1552395_at",7.495403782
"1552396_at",4.5917755578
"1552398_a_at",9.5910135836
"1552399_a_at",3.8959048732
"1552400_a_at",3.7642737003
"1552401_a_at",2.9560681568
"1552402_at",3.1763729155
"1552405_at",4.5501918561
"1552408_at",3.2441469585
"1552409_a_at",6.2582093019
"1552410_at",3.7783025287
"1552411_at",5.8962098058
"1552412_a_at",2.991255583
"1552414_at",4.1830988694
"1552415_a_at",4.9898336817
"1552417_a_at",3.621985284
"1552418_at",4.21611609
"1552419_s_at",5.8827378584
"1552421_a_at",2.8534958177
"1552422_at",4.1144617833
"1552423_at",5.4901443377
"1552424_at",3.2458510376
"1552425_a_at",3.499112152
"1552426_a_at",8.4146801993
"1552427_at",2.4226340071
"1552430_at",2.5418087367
"1552432_at",5.171873614
"1552436_a_at",4.5339791629
"1552438_a_at",3.3576146171
"1552439_s_at",2.552515707
"1552440_at",3.9320756557
"1552445_a_at",3.8552692905
"1552448_a_at",3.510416018
"1552449_a_at",4.606203106
"1552450_a_at",5.5019956057
"1552452_at",3.1761156483
"1552453_a_at",3.5328335753
"1552455_at",2.7891296295
"1552456_a_at",4.5935312376
"1552457_a_at",2.9838251465
"1552458_at",2.8007847048
"1552459_a_at",4.0927841425
"1552461_at",2.719712943
"1552463_at",3.0274906436
"1552466_x_at",2.6330478557
"1552467_at",5.7161948564
"1552468_a_at",4.3919811708
"1552470_a_at",3.0845646832
"1552472_a_at",6.9512024718
