"ProbeID","Expression"
"1007_s_at",5.783101216
"1053_at",5.84848899
"117_at",7.825340869
"121_at",8.202306253
"1255_g_at",2.746844714
"1294_at",7.197438213
"1316_at",5.487074601
"1320_at",3.917681143
"1405_i_at",11.58993029
"1431_at",2.999531181
"1438_at",4.848532212
"1487_at",6.620372197
"1494_f_at",5.564585629
"1552256_a_at",6.164683764
"1552257_a_at",6.147147232
"1552258_at",4.289587531
"1552261_at",4.256349404
"1552263_at",7.309053432
"1552264_a_at",8.365712113
"1552266_at",3.185353009
"1552269_at",3.102830825
"1552271_at",5.88012197
"1552272_a_at",4.863085758
"1552274_at",8.271840116
"1552275_s_at",6.540446246
"1552276_a_at",5.68854504
"1552277_a_at",5.190752353
"1552278_a_at",3.768233715
"1552279_a_at",6.702399946
"1552280_at",3.369068428
"1552281_at",6.644398184
"1552283_s_at",3.014651925
"1552286_at",5.640835759
"1552287_s_at",4.535040187
"1552288_at",3.768233715
"1552289_a_at",5.416894659
"1552291_at",5.417385074
"1552293_at",4.81478015
"1552295_a_at",5.850507365
"1552296_at",2.924206116
"1552299_at",3.117234222
"1552301_a_at",5.299020187
"1552302_at",6.750726924
"1552303_a_at",6.865454135
"1552304_at",3.432602498
"1552306_at",3.653472476
"1552307_a_at",5.146709767
"1552309_a_at",4.2776597
"1552310_at",4.91334514
"1552311_a_at",7.130586325
"1552312_a_at",4.243725572
"1552314_a_at",4.035417658
"1552315_at",7.437080092
"1552316_a_at",7.607596548
"1552318_at",8.836746647
"1552319_a_at",4.103849249
"1552320_a_at",3.384282464
"1552321_a_at",3.117234222
"1552322_at",2.33105311
"1552323_s_at",4.507484781
"1552325_at",2.570156664
"1552326_a_at",3.652384516
"1552327_at",3.099853001
"1552329_at",3.074869577
"1552330_at",4.748807199
"1552332_at",7.382181656
"1552334_at",5.074188619
"1552335_at",5.714114329
"1552337_s_at",3.587948594
"1552338_at",4.011119266
"1552340_at",4.691670176
"1552343_s_at",5.960869416
"1552344_s_at",3.607752771
"1552347_at",6.459502888
"1552348_at",8.393748432
"1552349_a_at",5.528585783
"1552354_at",4.226038013
"1552355_s_at",5.376918016
"1552359_at",2.654076038
"1552360_a_at",5.390940645
"1552362_a_at",5.477443106
"1552364_s_at",5.528942945
"1552365_at",2.676980356
"1552367_a_at",2.968554996
"1552368_at",2.793270979
"1552370_at",3.048732302
"1552372_at",2.474687743
"1552373_s_at",2.961993108
"1552375_at",4.968487816
"1552377_s_at",6.956025188
"1552378_s_at",3.369092608
"1552379_at",2.37914132
"1552381_at",2.596115736
"1552383_at",6.406746039
"1552384_a_at",3.559319697
"1552386_at",7.874198993
"1552388_at",6.011684623
"1552389_at",3.006921581
"1552390_a_at",2.573920702
"1552391_at",3.907604448
"1552393_at",2.75354941
"1552394_a_at",2.713813457
"1552395_at",7.988763341
"1552396_at",4.748023584
"1552398_a_at",9.089555789
"1552399_a_at",4.024973933
"1552400_a_at",4.010516798
"1552401_a_at",3.293650231
"1552402_at",3.401551113
"1552405_at",4.746021626
"1552408_at",3.238949434
"1552409_a_at",6.849799635
"1552410_at",3.875276118
"1552411_at",6.236125793
"1552412_a_at",2.916454878
"1552414_at",4.624917447
"1552415_a_at",5.262327429
"1552417_a_at",3.676643197
"1552418_at",4.421690153
"1552419_s_at",5.720499157
"1552421_a_at",2.839205986
"1552422_at",4.187472588
"1552423_at",5.584144577
"1552424_at",3.339777758
"1552425_a_at",3.490125622
"1552426_a_at",6.932232837
"1552427_at",2.528062513
"1552430_at",2.568402749
"1552432_at",5.144314669
"1552436_a_at",4.605866252
"1552438_a_at",3.598434639
"1552439_s_at",2.822358316
"1552440_at",3.945896341
"1552445_a_at",3.779475915
"1552448_a_at",3.738098489
"1552449_a_at",3.892876565
"1552450_a_at",5.773793613
"1552452_at",3.316628123
"1552453_a_at",3.711071888
"1552455_at",2.749351603
"1552456_a_at",4.647475011
"1552457_a_at",2.902657441
"1552458_at",3.117234222
"1552459_a_at",3.911483886
"1552461_at",2.717950729
"1552463_at",3.080045186
"1552466_x_at",2.640131141
"1552467_at",6.07352895
"1552468_a_at",4.257721075
"1552470_a_at",2.793064814
"1552472_a_at",6.271445023
"1552473_at",7.373205644
"1552474_a_at",7.073646151
"1552476_s_at",6.142158368
"1552477_a_at",2.861938626
"1552478_a_at",3.452881477
"1552480_s_at",6.747164023
"1552481_s_at",3.145312898
"1552482_at",3.180535243
"1552484_at",5.555547021
"1552485_at",4.434262617
"1552486_s_at",5.223003401
"1552487_a_at",2.422701983
"1552489_s_at",2.496770496
"1552490_at",3.17608683
"1552491_at",5.09559468
"1552493_s_at",3.528229663
"1552494_at",3.975258404
"1552496_a_at",3.268995332
"1552497_a_at",7.490182339
"1552498_at",3.775838621
"1552499_a_at",4.152076831
"1552501_a_at",8.501543135
"1552502_s_at",2.571278844
"1552503_at",4.882804541
"1552504_a_at",6.79776589
"1552506_at",3.946455114
"1552507_at",4.599913359
"1552508_at",3.68606534
"1552509_a_at",2.997939231
"1552510_at",8.469474896
"1552511_a_at",2.756380929
"1552514_at",2.74768577
"1552515_at",4.345330687
"1552516_a_at",6.662409648
"1552518_s_at",2.631731106
"1552519_at",5.477019883
"1552520_at",2.751774798
"1552521_a_at",2.619486496
"1552522_at",2.427421628
"1552523_a_at",3.870686053
"1552524_at",6.967609389
"1552526_at",3.76100836
"1552528_at",6.047259482
"1552531_a_at",3.365061617
"1552532_a_at",2.968554996
"1552535_at",5.381436896
"1552536_at",7.421976682
"1552538_a_at",3.403299249
"1552540_s_at",4.465163575
"1552541_at",8.220960771
"1552542_s_at",6.219982496
"1552543_a_at",3.677420265
"1552544_at",3.170534364
"1552546_a_at",4.004904921
"1552548_at",4.184819511
"1552549_a_at",5.595476867
"1552552_s_at",4.00781486
"1552553_a_at",7.041246549
"1552554_a_at",4.445513109
"1552555_at",6.271445023
"1552557_a_at",3.242152832
"1552558_a_at",6.983350073
"1552559_a_at",4.47118118
"1552562_at",3.743450715
"1552563_a_at",6.562457586
"1552564_at",3.528380254
"1552566_at",3.72071299
"1552568_at",5.168102398
"1552569_a_at",4.653664244
"1552570_at",4.244658369
"1552572_a_at",2.415934242
"1552573_s_at",2.575251912
"1552575_a_at",3.439033901
"1552576_at",4.372805698
"1552578_a_at",2.996037914
"1552579_a_at",3.888903907
"1552580_at",5.284594077
"1552582_at",3.374845735
"1552583_s_at",7.78816203
"1552584_at",7.322848788
"1552585_s_at",3.471205973
"1552586_at",5.420917112
"1552587_at",2.851409195
"1552588_a_at",3.020910879
"1552590_a_at",3.039579634
"1552592_at",2.560778859
"1552594_at",5.697492946
"1552596_at",6.380107342
"1552598_at",4.271456322
"1552599_at",3.603195062
"1552602_at",4.358283499
"1552604_at",4.585792061
"1552605_s_at",3.425671932
"1552607_at",5.306484266
"1552608_at",4.0492812
"1552609_s_at",3.559423328
"1552610_a_at",6.298463674
"1552611_a_at",7.802191289
"1552612_at",6.10084352
"1552613_s_at",5.040527531
"1552615_at",7.983720282
"1552616_a_at",4.876511315
"1552617_a_at",7.391278754
"1552618_at",6.65938939
"1552619_a_at",3.121516601
"1552620_at",6.901858741
"1552621_at",8.753332519
"1552622_s_at",6.771564723
"1552623_at",5.934986947
"1552625_a_at",4.019746802
"1552626_a_at",3.008158184
"1552627_a_at",3.155113256
"1552628_a_at",8.207520723
"1552629_a_at",3.863431308
"1552630_a_at",4.977504294
"1552631_a_at",6.114979337
"1552632_a_at",5.003843804
"1552633_at",5.47055577
"1552634_a_at",5.715200741
"1552637_at",3.085332459
"1552639_at",5.37252841
"1552641_s_at",5.837605674
"1552643_at",4.029724942
"1552644_a_at",4.244658369
"1552646_at",5.652318203
"1552648_a_at",6.223298947
"1552649_a_at",5.432451691
"1552651_a_at",6.22335699
"1552652_at",6.200348263
"1552656_s_at",4.524753513
"1552657_a_at",4.826147303
"1552658_a_at",3.126475329
"1552660_a_at",2.892712267
"1552661_at",2.549563925
"1552662_a_at",3.123338564
"1552663_a_at",6.071134929
"1552664_at",5.276982741
"1552665_at",4.307750105
"1552666_a_at",2.813998467
"1552667_a_at",7.111110154
"1552669_at",5.045159884
"1552670_a_at",4.99509668
"1552671_a_at",5.358281885
"1552672_a_at",4.81496759
"1552673_at",2.928195226
"1552674_at",2.594692241
"1552675_at",2.560090446
"1552676_at",5.955083812
"1552677_a_at",5.088022644
"1552678_a_at",4.506599939
"1552680_a_at",3.420445718
"1552682_a_at",3.244600703
"1552684_a_at",3.066561783
"1552685_a_at",4.401119669
"1552686_at",4.702226331
"1552687_a_at",3.728774437
"1552689_at",6.447058901
"1552690_a_at",5.166319244
"1552691_at",9.419179803
"1552693_at",2.604285016
"1552694_at",2.343876442
"1552695_a_at",3.920507344
"1552696_at",3.282829791
"1552698_at",5.936473983
"1552701_a_at",8.03583988
"1552703_s_at",8.279127766
"1552705_at",2.517309369
"1552708_a_at",2.488025629
"1552711_a_at",5.49848783
"1552712_a_at",4.863657068
"1552713_a_at",7.340998073
"1552714_at",3.047257405
"1552715_a_at",3.226840949
"1552716_at",3.465948697
"1552717_s_at",4.277917191
"1552718_at",4.247385573
"1552719_at",5.30553461
"1552721_a_at",2.702776631
"1552722_at",2.707636689
"1552724_at",5.865165988
"1552725_s_at",3.895704473
"1552726_at",3.780371525
"1552727_s_at",3.027539707
"1552729_at",6.291396535
"1552730_at",4.052728331
"1552731_at",3.184394167
"1552732_at",2.324211734
"1552733_at",3.215980437
"1552734_at",3.047257405
"1552735_at",2.532979023
"1552736_a_at",4.376526583
"1552737_s_at",3.600690107
"1552738_a_at",2.756380929
"1552739_s_at",3.198721054
"1552740_at",2.664127282
"1552742_at",2.891238233
"1552743_at",3.198721054
"1552745_at",3.680138074
"1552747_a_at",2.491210167
"1552749_a_at",7.668972023
"1552750_at",2.828922217
"1552751_a_at",5.911086714
"1552752_a_at",3.117234222
"1552754_a_at",2.548480443
"1552755_at",4.002018185
"1552757_s_at",3.458854009
"1552758_at",3.463799055
"1552760_at",2.944918159
"1552761_at",5.843326653
"1552763_at",2.549563925
"1552765_x_at",2.537722781
"1552766_at",2.801858687
"1552767_a_at",2.684692091
"1552768_at",5.667267498
"1552769_at",3.944430259
"1552770_s_at",4.728965428
"1552771_a_at",3.047257405
"1552772_at",7.381757629
"1552773_at",6.755919415
"1552774_a_at",2.913648185
"1552775_at",5.018994927
"1552777_a_at",5.200065012
"1552779_a_at",2.794445403
"1552782_at",2.978117865
"1552783_at",2.433088561
"1552785_at",2.891239678
"1552787_at",5.008243994
"1552788_a_at",5.271683396
"1552789_at",3.905861363
"1552790_a_at",5.397800838
"1552791_a_at",2.698704653
"1552792_at",2.948049053
"1552793_at",4.067774206
"1552794_a_at",2.649041429
"1552796_a_at",3.336241616
"1552797_s_at",3.280437646
"1552798_a_at",7.028317586
"1552799_at",5.181337742
"1552800_at",6.092603229
"1552801_at",3.735953643
"1552803_a_at",3.46437754
"1552804_a_at",4.772817123
"1552806_a_at",5.44378683
"1552807_a_at",7.672713416
"1552808_at",2.793829351
"1552809_at",3.642617948
"1552811_at",6.521410978
"1552812_a_at",4.024617855
"1552813_at",4.274347317
"1552814_a_at",4.391267132
"1552816_at",2.551792597
"1552818_a_at",3.256845062
"1552819_at",4.571250114
"1552822_at",2.566450094
"1552825_at",2.866872111
"1552826_at",2.46860465
"1552827_s_at",3.672360944
"1552828_at",5.119442594
"1552829_at",6.161699224
"1552830_at",3.498754789
"1552833_at",4.743272184
"1552834_at",5.348772294
"1552835_at",3.73990643
"1552836_at",5.718709025
"1552837_at",2.601126145
"1552839_at",3.507628807
"1552841_s_at",3.032448272
"1552842_at",5.427301579
"1552843_at",3.458868941
"1552845_at",5.701407568
"1552846_s_at",6.334567298
"1552848_a_at",3.375379751
"1552849_at",2.968554996
"1552851_at",2.63522005
"1552852_a_at",3.097682393
"1552853_at",4.087376842
"1552854_a_at",3.913795273
"1552856_at",3.681765191
"1552857_a_at",3.979368205
"1552858_at",2.339463658
"1552860_at",3.847624473
"1552862_at",4.584833266
"1552863_a_at",7.331175877
"1552865_a_at",5.024799352
"1552867_at",2.841943835
"1552868_at",5.82084588
"1552870_s_at",2.582409825
"1552872_at",4.813889405
"1552873_s_at",7.428651787
"1552875_a_at",2.971016288
"1552876_at",3.658220638
"1552877_s_at",4.949783334
"1552878_at",2.388032132
"1552879_a_at",4.244658369
"1552880_at",3.273229532
"1552882_a_at",4.088451484
"1552884_at",5.631776703
"1552885_a_at",7.068237654
"1552887_at",6.134338869
"1552889_a_at",8.151302069
"1552890_a_at",4.328268205
"1552892_at",7.035195426
"1552893_at",5.727006744
"1552895_a_at",3.198721054
"1552897_a_at",3.029393886
"1552898_a_at",3.120762167
"1552899_at",2.752433941
"1552900_a_at",2.554410055
"1552902_a_at",4.391447159
"1552903_at",4.863239172
"1552904_at",2.422701983
"1552906_at",2.638539587
"1552908_at",3.137159919
"1552910_at",4.001359819
"1552911_at",4.589246048
"1552912_a_at",2.776459854
"1552913_at",2.434682409
"1552914_a_at",5.897093594
"1552915_at",3.837843934
"1552917_at",4.455329597
"1552919_at",2.895689081
"1552921_a_at",3.127584233
"1552922_at",2.654706979
"1552923_a_at",3.983420818
"1552924_a_at",4.202665583
"1552925_at",4.051217855
"1552927_at",2.809190068
"1552928_s_at",2.676408915
"1552929_at",2.980339911
"1552930_at",5.938110809
"1552931_a_at",4.863163161
"1552932_at",4.109231208
